Strategy,Final Value,PnL,PnL %,Total Trades,Won,Lost,Win Rate %,Max Drawdown %,Max DD Duration (bars),Sharpe Ratio,Symbol
Keltner + EMA Cross (NEW),91428.96,-8571.04,-8.57,3,1,2,33.33,10.32,98.0,-2.517,GIPCL
Keltner Breakout (ATR 1.5),99106.85,-893.15,-0.89,2,1,1,50.0,8.62,46.0,-15.555,GIPCL
Bollinger RSI,93727.6,-6272.4,-6.27,1,0,1,0.0,37.9,206.0,-0.815,GIPCL
Squeeze Breakout,99277.11,-722.89,-0.72,2,1,1,50.0,7.17,123.0,-1.247,GIPCL
Keltner Tuned (ATR 2.0 + EMA),115815.92,15815.92,15.82,4,2,2,50.0,22.93,106.0,0.203,GOLDBEES
Keltner + EMA Cross (NEW),92829.49,-7170.51,-7.17,1,0,1,0.0,7.17,37.0,-2.813,GOLDBEES
Keltner Breakout (ATR 1.5),113193.77,13193.77,13.19,5,2,3,40.0,22.93,106.0,0.004,GOLDBEES
Bollinger RSI,105876.05,5876.05,5.88,1,0,0,0.0,12.31,36.0,-1.212,GOLDBEES
Squeeze Breakout,88362.87,-11637.13,-11.64,4,0,4,0.0,14.4,136.0,-2.535,GOLDBEES
Keltner Tuned (ATR 2.0 + EMA),93205.06,-6794.94,-6.79,3,1,2,33.33,13.3,178.0,-2.778,GPECO-ST
Keltner + EMA Cross (NEW),103418.63,3418.63,3.42,2,0,1,0.0,14.09,159.0,-0.622,GPECO-ST
Keltner Breakout (ATR 1.5),93985.15,-6014.85,-6.01,3,1,2,33.33,13.3,179.0,-5.162,GPECO-ST
Bollinger RSI,117337.04,17337.04,17.34,1,1,0,100.0,29.62,67.0,0.25,GPECO-ST
Squeeze Breakout,107705.15,7705.15,7.71,4,2,2,50.0,14.25,111.0,-0.202,GPECO-ST
Keltner Tuned (ATR 2.0 + EMA),106231.23,6231.23,6.23,2,1,1,50.0,8.54,137.0,-0.83,HAL
Keltner + EMA Cross (NEW),87608.16,-12391.84,-12.39,2,0,2,0.0,14.47,194.0,-3.067,HAL
Keltner Breakout (ATR 1.5),96285.76,-3714.24,-3.71,4,1,3,25.0,12.49,149.0,-8.557,HAL
Bollinger RSI,130112.37,30112.37,30.11,2,2,0,100.0,5.71,134.0,2.212,HAL
Squeeze Breakout,86130.65,-13869.35,-13.87,6,1,5,16.67,17.47,209.0,-15.427,HAL
Keltner Tuned (ATR 2.0 + EMA),178044.22,78044.22,78.04,3,2,1,66.67,26.71,106.0,1.034,HINDCOPPER
Keltner + EMA Cross (NEW),129931.27,29931.27,29.93,1,1,0,100.0,11.17,181.0,0.566,HINDCOPPER
Keltner Breakout (ATR 1.5),159296.01,59296.01,59.3,5,2,3,40.0,30.27,106.0,0.843,HINDCOPPER
Bollinger RSI,117072.02,17072.02,17.07,1,1,0,100.0,6.65,199.0,0.239,HINDCOPPER
Squeeze Breakout,97984.76,-2015.24,-2.02,4,1,3,25.0,16.81,190.0,-0.972,HINDCOPPER
Keltner Tuned (ATR 2.0 + EMA),94962.95,-5037.05,-5.04,5,2,3,40.0,24.15,108.0,-0.596,HINDZINC
Keltner + EMA Cross (NEW),116267.3,16267.3,16.27,3,2,1,66.67,21.62,108.0,0.156,HINDZINC
Keltner Breakout (ATR 1.5),109948.07,9948.07,9.95,5,4,1,80.0,20.99,108.0,-0.019,HINDZINC
